CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"!OBAC UK LIMITED","07687209","","","UNIT 9   BERRY COURT FARM BRAMLEY ROAD","LITTLE LONDON","TADLEY","HAMPSHIRE","","RG26 5AT","Private Limited Company","Active","United Kingdom","","29/06/2011","29","12","29/09/2022","31/12/2020","TOTAL EXEMPTION FULL","27/07/2017","29/06/2016","1","0","0","1","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/07687209","15/07/2011","!OBAC FITTINGS LIMITED","","","","","","","","","","","","","","","","","","","13/07/2022","29/06/2021"
"!T DROP LIMITED","13563692","","","INTERNATIONAL HOUSE","PARK STREET SOUTH","WOLVERHAMPTON","","ENGLAND","WV2 3JH","Private Limited Company","Active","United Kingdom","","12/08/2021","31","8","12/05/2023","","NO ACCOUNTS FILED","09/09/2022","","0","0","0","0","59200 - Sound recording and music publishing activities","85600 - Educational support services","90020 - Support activities to performing arts","90040 - Operation of arts facilities","0","0","http://business.data.gov.uk/id/company/13563692","","","","","","","","","","","","","","","","","","","","","25/08/2022",""
"!YOZO FASS LIMITED","02714021","","","1 VERONICA HOUSE","WICKHAM ROAD","BROCKLEY","","","SE4 1NQ","Private Limited Company","Active","United Kingdom","","12/05/1992","31","3","31/12/2022","31/03/2021","DORMANT","09/06/2017","12/05/2016","0","0","0","0","90010 - Performing arts","","","","0","0","http://business.data.gov.uk/id/company/02714021","","","","","","","","","","","","","","","","","","","","","26/05/2022","12/05/2021"
""" BORA "" 2 LTD","13220580","","","26 CARMICHAEL CLOSE","WINSTANLEY ESTATE","LONDON","BATTERSEA","ENGLAND","SW11 2HS","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","23/02/2021","28","2","23/11/2022","","NO ACCOUNTS FILED","23/03/2022","","0","0","0","0","47820 - Retail sale via stalls and markets of textiles, clothing and footwear","","","","0","0","http://business.data.gov.uk/id/company/13220580","","","","","","","","","","","","","","","","","","","","","08/03/2023","22/02/2022"
""" TRIPLE D"" PROPERTIES LIMITED","13310195","","","66 MORRIS STREET","","WEST BROMWICH","","ENGLAND","B70 7SP","Private Limited Company","Active","United Kingdom","","01/04/2021","30","4","01/01/2023","","NO ACCOUNTS FILED","29/04/2022","","0","0","0","0","68209 - Other letting and operating of own or leased real estate","68320 - Management of real estate on a fee or contract basis","","","0","0","http://business.data.gov.uk/id/company/13310195","","","","","","","","","","","","","","","","","","","","","14/05/2023","30/04/2022"
"""1 C O LIMITED""","03811958","","","FANE COURT","GREEN ROAD SHIPBOURNE","TONBRIDGE","KENT","","TN11 9PL","Private Limited Company","Active","United Kingdom","","22/07/1999","30","9","30/06/2022","30/09/2020","DORMANT","19/08/2016","22/07/2015","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/03811958","","","","","","","","","","","","","","","","","","","","","05/08/2022","22/07/2021"
"""1ST RATE"" PSYCHOLOGY SERVICES LTD","11303802","","","116 ALEXANDRA ROAD","","GREAT WAKERING","ESSEX","UNITED KINGDOM","SS3 0GW","Private Limited Company","Active","United Kingdom","","11/04/2018","29","4","29/01/2023","29/04/2021","MICRO ENTITY","09/05/2019","","0","0","0","0","85600 - Educational support services","86900 - Other human health activities","","","0","0","http://business.data.gov.uk/id/company/11303802","","","","","","","","","","","","","","","","","","","","","24/04/2023","10/04/2022"
"""2 ECOUTE"" LIMITED","06439541","","","38 PAXTON GARDENS","WOKING","SURREY","","","GU21 5TS","Private Limited Company","Active","United Kingdom","","28/11/2007","30","11","31/08/2023","30/11/2021","DORMANT","26/12/2016","28/11/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/06439541","","","","","","","","","","","","","","","","","","","","","12/12/2022","28/11/2021"
"""20-20 VOICE"" CANCER","CE000952","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom","","17/04/2014","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/CE000952","","","","","","","","","","","","","","","","","","","","","",""
"""24/7"" UK CUSTOMS AGENTS LIMITED","12792142","","","OFFICE 221 CEME CAMPUS","MARSH WAY","RAINHAM","","ENGLAND","RM13 8EU","Private Limited Company","Active","United Kingdom","","04/08/2020","31","8","31/05/2023","31/08/2021","DORMANT","01/09/2021","","0","0","0","0","49410 - Freight transport by road","","","","0","0","http://business.data.gov.uk/id/company/12792142","06/05/2021","EDGELAKE LIMITED","","","","","","","","","","","","","","","","","","","20/05/2023","06/05/2022"
"""243 RUGBY ROAD MANAGEMENT COMPANY LIMITED""","05914136","","","94 PARK LANE","","CROYDON","SURREY","ENGLAND","CR0 1JB","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","23/08/2006","31","8","31/05/2023","31/08/2021","MICRO ENTITY","20/09/2016","23/08/2015","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/05914136","","","","","","","","","","","","","","","","","","","","","06/09/2022","23/08/2021"
"""309"" WEST END LANE MANAGEMENT LIMITED","02943302","","","269 FARNBOROUGH ROAD","","FARNBOROUGH","HAMPSHIRE","","GU14 7LY","Private Limited Company","Active","United Kingdom","","28/06/1994","24","12","24/09/2022","24/12/2020","DORMANT","26/07/2017","28/06/2016","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/02943302","","","","","","","","","","","","","","","","","","","","","14/08/2022","31/07/2021"
"""786"" MAZ OFFICE SUPPORT LIMITED","10694769","","","136 EMPRESS AVENUE","","ILFORD","","UNITED KINGDOM","IG1 3DF","Private Limited Company","Active","United Kingdom","","28/03/2017","30","4","31/01/2023","30/04/2021","MICRO ENTITY","25/04/2018","","0","0","0","0","82110 - Combined office administrative service activities","","","","0","0","http://business.data.gov.uk/id/company/10694769","06/04/2017","MAZ A&T SERVICES LIMITED","","","","","","","","","","","","","","","","","","","10/04/2023","27/03/2022"
"""A TASTE OF TUSCANY"" LTD","06473722","","","5 ELSTREE GATE","ELSTREE WAY","BOREHAMWOOD","HERTFORDSHIRE","","WD6 1JD","Private Limited Company","Active","United Kingdom","","15/01/2008","29","12","30/03/2022","31/12/2019","TOTAL EXEMPTION FULL","12/02/2017","15/01/2016","0","0","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/06473722","","","","","","","","","","","","","","","","","","","","","29/01/2023","15/01/2022"
"""A"" CERAMICS LIMITED","04494986","","","132 MANCHESTER ROAD","SHAW","OLDHAM","LANCASHIRE","","OL2 7DD","Private Limited Company","Active","United Kingdom","","25/07/2002","31","7","30/04/2023","31/07/2021","TOTAL EXEMPTION FULL","22/08/2016","25/07/2015","1","1","0","0","86230 - Dental practice activities","","","","0","0","http://business.data.gov.uk/id/company/04494986","","","","","","","","","","","","","","","","","","","","","08/08/2022","25/07/2021"
"""A"" CONCEPT LIMITED","02537158","","","BEAUFORT HOUSE","5 MIDDLESEX STREET","LONDON","","","E1 7AA","Private Limited Company","Active","United Kingdom","","05/09/1990","30","6","31/03/2023","30/06/2021","TOTAL EXEMPTION FULL","03/10/2016","05/09/2015","2","0","0","2","64209 - Activities of other holding companies n.e.c.","73110 - Advertising agencies","","","0","0","http://business.data.gov.uk/id/company/02537158","","","","","","","","","","","","","","","","","","","","","19/09/2022","05/09/2021"
"""A.B.J.Z DRIVER HIRE "" LTD","09151627","","","9 ST. MICHAELS TERRACE","STOKE","PLYMOUTH","","ENGLAND","PL1 4QG","Private Limited Company","Active","United Kingdom","","29/07/2014","31","7","30/04/2023","31/07/2021","TOTAL EXEMPTION FULL","25/08/2016","28/07/2015","0","0","0","0","49410 - Freight transport by road","52290 - Other transportation support activities","78200 - Temporary employment agency activities","82990 - Other business support service activities n.e.c.","0","0","http://business.data.gov.uk/id/company/09151627","","","","","","","","","","","","","","","","","","","","","09/02/2023","26/01/2022"
"""A.K.WELDING SERVICE"" LTD","08981806","","","61 LANGWORTHY ROAD","LANGWORTHY ROAD","MANCHESTER","","ENGLAND","M40 5EP","Private Limited Company","Active","United Kingdom","","07/04/2014","30","4","31/01/2023","30/04/2021","TOTAL EXEMPTION FULL","05/05/2017","07/04/2016","0","0","0","0","41201 - Construction of commercial buildings","","","","0","0","http://business.data.gov.uk/id/company/08981806","","","","","","","","","","","","","","","","","","","","","03/11/2022","20/10/2021"
"""ALL ABOUT ME"" FULL STOP LIMITED","11513658","","","16 BROADWAY AVENUE","","CROYDON","ENGLAND","ENGLAND","CR0 2LP","Private Limited Company","Active","United Kingdom","","13/08/2018","31","8","31/05/2023","31/08/2021","DORMANT","10/09/2019","","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/11513658","","","","","","","","","","","","","","","","","","","","","26/08/2022","12/08/2021"
"""ALL WRAPPED UP"" EVENTS MANAGEMENT LTD","SC313991","","","13 RUTLAND STREET","","EDINBURGH","","SCOTLAND","EH1 2AE","Private Limited Company","Active","United Kingdom","","03/01/2007","28","2","30/11/2022","28/02/2021","MICRO ENTITY","31/01/2017","03/01/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/SC313991","","","","","","","","","","","","","","","","","","","","","17/01/2023","03/01/2022"
"""ALTAI CASHMERE"" LLC","FC027187","","","BUILDING LEFT TO THE ""TUUL""","DRY CLEANING","KHAN-UUL DISTRICT","ULAANBAATAR, MONGOLIA","MONGOLIA","","Other company type","Active","MONGOLIA","","14/06/2006","30","6","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC027187","","","","","","","","","","","","","","","","","","","","","26/12/2016",""
"""AN IDEAL LIFE???"" CIC","12459056","","","197 CLAREMONT ROAD","","MANCHESTER","","ENGLAND","M14 4JF","Community Interest Company","Active - Proposal to Strike off","United Kingdom","","12/02/2020","29","2","28/02/2022","","NO ACCOUNTS FILED","12/03/2021","","0","0","0","0","85600 - Educational support services","","","","0","0","http://business.data.gov.uk/id/company/12459056","","","","","","","","","","","","","","","","","","","","","25/02/2023","11/02/2022"
"""AND BREATHE"" LTD","09008930","","","UNIT G20 BOSTON ENTERPRISE CENTRE VENTURE HOUSE","ENTERPRISE WAY","BOSTON","","ENGLAND","PE21 7TW","Private Limited Company","Active","United Kingdom","","24/04/2014","30","4","31/01/2023","30/04/2021","MICRO ENTITY","22/05/2017","24/04/2016","0","0","0","0","86900 - Other human health activities","","","","0","0","http://business.data.gov.uk/id/company/09008930","","","","","","","","","","","","","","","","","","","","","08/05/2023","24/04/2022"
"""ANDI'S GIFT""","CE012989","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom","","22/01/2018","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/CE012989","","","","","","","","","","","","","","","","","","","","","",""
"""ARTHUR BALFOUR"",CONSERVATIVE WORKING MEN'S CLUB LIMITED","IP10067R","","","","","","","","","Registered Society","Active","United Kingdom","","01/01/1981","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/IP10067R","","","","","","","","","","","","","","","","","","","","","15/01/2017",""
"""AS I HAVE LOVED YOU"" LIMITED","08181359","","","HOLLY HOUSE","220 NEW LONDON ROAD","CHELMSFORD","","ENGLAND","CM2 9AE","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","16/08/2012","31","8","31/05/2023","31/08/2021","DORMANT","22/07/2017","24/06/2016","0","0","0","0","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/08181359","05/10/2012","?AS I HAVE LOVED YOU?","","","","","","","","","","","","","","","","","","","08/07/2022","24/06/2021"
"""AUTOCONTEX"" AUTOMOBIL CONTAINER EXPRESS GMBH","FC018262","","","BRANCH REGISTRATION","REFER TO PARENT REGISTRY","","","GERMANY","","Other company type","Active","WEST GERMANY","","01/11/1994","30","11","","31/12/2002","FULL","","","2","2","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC018262","","","","","","","","","","","","","","","","","","","","","01/12/2016",""
"""AV IT ALL"" AUDIO-VISUAL INSTALLATIONS LTD","SC678676","","","69 SOUTH PILMUIR ROAD","","CLACKMANNAN","","SCOTLAND","FK10 4JR","Private Limited Company","Active","United Kingdom","","26/10/2020","31","10","31/07/2023","31/10/2021","TOTAL EXEMPTION FULL","23/11/2021","","0","0","0","0","61900 - Other telecommunications activities","","","","0","0","http://business.data.gov.uk/id/company/SC678676","","","","","","","","","","","","","","","","","","","","","08/11/2022","25/10/2021"
"""AVICENNA-MED"" LTD","12127911","","","3 REDSAND CLOSE","","WILLENHALL","","ENGLAND","WV12 4EZ","Private Limited Company","Active","United Kingdom","","29/07/2019","31","7","30/04/2023","31/07/2021","TOTAL EXEMPTION FULL","26/08/2020","","0","0","0","0","86900 - Other human health activities","","","","0","0","http://business.data.gov.uk/id/company/12127911","","","","","","","","","","","","","","","","","","","","","08/12/2022","24/11/2021"
"""B"" COOL LIMITED","05318740","","","C/O CHARNWOOD ACCOUNTANTS THE POINT GRANITE WAY","MOUNTSORREL","LOUGHBOROUGH","LEICESTERSHIRE","","LE12 7TZ","Private Limited Company","Active","United Kingdom","","21/12/2004","31","12","30/09/2022","31/12/2020","TOTAL EXEMPTION FULL","18/01/2017","21/12/2015","0","0","0","0","43220 - Plumbing, heat and air-conditioning installation","","","","0","0","http://business.data.gov.uk/id/company/05318740","","","","","","","","","","","","","","","","","","","","","04/01/2023","21/12/2021"
"""BACHELORS"" LIMITED(THE)","00807672","","","47A HIGH STREET","BANSTEAD","SURREY","","","SM7 2NL","Private Limited Company","Liquidation","United Kingdom","","03/06/1964","30","6","30/04/2003","","NO ACCOUNTS FILED","","","1","1","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/00807672","","","","","","","","","","","","","","","","","","","","","17/06/2017",""
"""BAMEX"" ZAKLAD PRODUKCYJNO-HANDLOWY","FC015324","","","MR.E.SZELICZYK","67 OXLEAY ROAD","RAYNERS LANE","HARROW MIDDX.HA2 9UZ","POLAND","","Other company type","Active","POLAND","","11/12/1989","31","3","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC015324","","","","","","","","","","","","","","","","","","","","","25/12/2016",""
"""BASI PILATES & MOVEMENT BY YVETTE LTD"" LTD","14139756","","","20-22 WENLOCK ROAD","","LONDON","","ENGLAND","N1 7GU","Private Limited Company","Active","United Kingdom","","30/05/2022","31","5","29/02/2024","","NO ACCOUNTS FILED","27/06/2023","","0","0","0","0","96040 - Physical well-being activities","","","","0","0","http://business.data.gov.uk/id/company/14139756","","","","","","","","","","","","","","","","","","","","","12/06/2023",""
"""BE"" NEWHALL MANAGEMENT COMPANY LIMITED","07326397","","","VANTAGE POINT","23 MARK ROAD","HEMEL HEMPSTEAD","HERTFORDSHIRE","","HP2 7DN","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","27/07/2010","31","7","30/04/2023","31/07/2021","DORMANT","24/08/2016","27/07/2015","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/07326397","","","","","","","","","","","","","","","","","","","","","10/08/2022","27/07/2021"
"""BEDE INVESTMENT PROPERTIES LIMITED""","02871100","","","43A UXBRIDGE ROAD","LONDON","","","","W12 8LA","Private Limited Company","Active","United Kingdom","","12/11/1993","31","12","30/09/2022","31/12/2020","TOTAL EXEMPTION FULL","28/11/2016","31/10/2015","5","5","0","0","68100 - Buying and selling of own real estate","68209 - Other letting and operating of own or leased real estate","","","0","0","http://business.data.gov.uk/id/company/02871100","","","","","","","","","","","","","","","","","","","","","14/11/2022","31/10/2021"
"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED","01382560","","","33 BEECHBANK","NORWICH","NORFOLK","","","NR2 2AL","Private Limited Company","Active","United Kingdom","","07/08/1978","31","5","28/02/2023","31/05/2021","MICRO ENTITY","23/05/2017","25/04/2016","0","0","0","0","68320 - Management of real estate on a fee or contract basis","74990 - Non-trading company","","","0","0","http://business.data.gov.uk/id/company/01382560","","","","","","","","","","","","","","","","","","","","","09/05/2022","25/04/2021"
"""BELLE-VUE"" ENTERPRISES LIMITED","04427981","","","ST ANN'S HOUSE","ST ANN'S STREET","KINGS LYNN","NORFOLK","","PE30 1LT","Private Limited Company","Active","United Kingdom","","30/04/2002","31","5","28/02/2023","31/05/2021","MICRO ENTITY","25/05/2017","27/04/2016","0","0","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/04427981","","","","","","","","","","","","","","","","","","","","","11/05/2023","27/04/2022"
"""BETTER CALL CECIL"" LTD","13105018","","","20 HOLLY WALK","KEYNSHAM","BRISTOL","","ENGLAND","BS31 2TU","Private Limited Company","Active","United Kingdom","","30/12/2020","31","12","30/09/2023","31/12/2021","TOTAL EXEMPTION FULL","27/01/2022","","0","0","0","0","69109 - Activities of patent and copyright agents; other legal activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/13105018","","","","","","","","","","","","","","","","","","","","","29/01/2023","15/01/2022"
"""BSP RETAIL"" LIMITED","10813901","","","POST OFFICE 14 SOUTH STREET","TILLINGHAM","SOUTHMINSTER","ESSEX","ENGLAND","CM0 7TJ","Private Limited Company","Active","United Kingdom","","12/06/2017","30","6","31/03/2023","30/06/2021","TOTAL EXEMPTION FULL","10/07/2018","","0","0","0","0","47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating","47620 - Retail sale of newspapers and stationery in specialised stores","","","0","0","http://business.data.gov.uk/id/company/10813901","","","","","","","","","","","","","","","","","","","","","25/06/2022","11/06/2021"
"""BUDMEL"" COMPANY LTD","FC025469","","","BRANCH REGISTRATION","REFER TO PARENT REGISTRY","","","POLAND","","Other company type","Active","POLAND","","21/09/2004","30","9","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC025469","","","","","","","","","","","","","","","","","","","","","05/10/2016",""
"""C"" PIECES LTD.","03686502","","","2 HALL ORCHARDS AVENUE","","WETHERBY","WEST YORKSHIRE","","LS22 6SN","Private Limited Company","Active","United Kingdom","","21/12/1998","28","2","30/11/2022","28/02/2021","MICRO ENTITY","18/01/2017","21/12/2015","0","0","0","0","45310 - Wholesale trade of motor vehicle parts and accessories","","","","0","0","http://business.data.gov.uk/id/company/03686502","","","","","","","","","","","","","","","","","","","","","02/01/2023","19/12/2021"
"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED","02076454","","","17 CANNON PLACE","HAMPSTEAD","LONDON","","","NW3 1EH","Private Limited Company","Active","United Kingdom","","21/11/1986","31","3","31/12/2022","31/03/2021","DORMANT","24/04/2017","27/03/2016","0","0","0","0","74990 - Non-trading company","98000 - Residents property management","","","0","0","http://business.data.gov.uk/id/company/02076454","","","","","","","","","","","","","","","","","","","","","10/04/2023","27/03/2022"
"""CARTREF NI"" LIMITED","02591631","","","GOLEUFAN","27 CHESTER STREET","ST ASAPH","DENBIGHSHIRE","WALES","LL17 0RE","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","14/03/1991","19","3","19/12/2022","20/03/2021","FULL","11/04/2017","14/03/2016","2","0","0","2","88100 - Social work activities without accommodation for the elderly and disabled","","","","0","0","http://business.data.gov.uk/id/company/02591631","","","","","","","","","","","","","","","","","","","","","28/03/2023","14/03/2022"
"""CHANNING HOUSE""INCORPORATED HIGHGATE","00063121","","","CHANNING SCHOOL","HIGHGATE HILL","HIGHGATE","LONDON","","N6 5HF","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","27/07/1899","31","8","31/05/2023","31/08/2021","FULL","28/09/2016","31/08/2015","5","5","0","0","85200 - Primary education","85310 - General secondary education","","","0","0","http://business.data.gov.uk/id/company/00063121","","","","","","","","","","","","","","","","","","","","","14/09/2022","31/08/2021"
"""CLAREJON"" JEWELLERY & ACCESSORIES L.P.","LP018170","","","4 BADGERS CROFT VICTORIA ROAD","MORTIMER COMMON","READING","BERKSHIRE","","RG7 3SW","Limited Partnership","Active","United Kingdom","","29/06/2017","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","1","1","http://business.data.gov.uk/id/company/LP018170","","","","","","","","","","","","","","","","","","","","","",""
