166 Hamilton Road, London, SE27 9SF	1
2 Choseley Cottages, Knowl Hill, RG10 9YP	1
6 Reddings, Golden Valley, Castlemorton, WR13 6AA	1
Gingham House, Gingham Brow, Horwich, BL6 6PJ	1
Orchard Lodge, Polpey Lane, Tywardreath, PL24 2TP	1
1 Alexander Cottages, High Wych, CM21 0JX	1
93 Sun Street, Biggleswade, SG18 0BY	1
Witley Park, Haslemere Road, Witley, GU8 5PX	1
Flat 4, Grosvenor Court, 16 Anerley Hill, London, SE19 2AB	1
1 Longfield Road, Manchester, M23 0GH	1
Unit 5 Charnwood Trade Park, Loughborough, LE11 1FW	1
114 Northampton Road, Brixworth, NN6 9DY	1
9 Millbrook, Gateshead, NE10 9XF	1
11 Sunnybank Avenue, Prenton, CH43 9JY	1
Mill Farm, Broughton Beck, LA12 7PH	1
35 Grove Road, Leeds, LS15 0LQ	1
21 Medrose Street, Delabole, PL33 9BN	1
1 Hill Yard, Kirkby In Cleveland, TS9 7AY	1
Upmead, Kersbrook, EX9 7AA	1
6 Dunes Court, Beadnell, NE67 5EE	1
3 Parys Uchaf, Glan Y Don Parc, Bull Bay, LL68 9AJ	1
128 Swarcliffe Road, Harrogate, HG1 4QY	1
The Old Rectory Cottage, Nedging Tye, P7 7HQ	1
5 Piercebridge Close, Stockton-On-Tees, TS19 0XP	1
6 The Winter Knoll, Littlehampton, BN17 6ND	1
Pantiles, Station Road, Rhosneigr, LL64 5QP	1
4 Foxcroft Road, London, SE18 3DB	1
14 Dairy Lane, Cayton, YO11 3EA	1
34 Hogarth Avenue, Ashford, TW15 1QA	1
13 Church Street, Wymondham, NR18 0PH	1
Top Floor Flat, The Captains Table, Church Street, New Quay, SA45 9NT	1
2 Sanger Gardens, Nottingham, NG11 8QP	1
603 Littleworth Road, Cannock, WS12 1QQ	1
8 Lansdown Place, Marlborough, SN8 1DE	1
Unit 22A Cobbett Road, Zone 1, WS7 3GL	1
72 Walkiss Crescent, Lawley, TF4 2SR	1
Clear View, Frobisher Lane, Salcombe, TQ8 8AQ	1
25 Stephen Crescent, Humberston, DN36 4DZ	1
45 Red Norman Rise, Holmer, HR1 1GP	1
39 Goodacre Street, Mansfield, NG18 2HH	1
154 Coalway Road, Penn, WV3 7NF	1
1 The Old Smithy, Gongl Y Rhedyn Estate, Cemaes Bay,L L67 0HY	1
8 Lime Avenue, Whitefield, M45 7FW	1
73 Penshurst Avenue, Birmingham, B20 3BG	1
49 Gogh Road, Aylesbury, HP19 8SH	1
88 Hamstead Road, Hockley, B19 1DG	1
53 Darvel Road, Willenhall, WV12 4TU	1
3 Stable Fold, Wyke, BD12 9EF	1
Jay Folly, Poppinghole Lane, Robertsbridge, TN32 5BJ	1
739A Romford Road, Manor Park, E12 5AW	1
2 Roselands Drive, Sedlescombe, TN33 0FQ	1
Dovedale, Bristol Road, Berkeley, GL13 9EZ	1
1 The Gallops, Vigo, DA13 0SS	1
1 Meltham Court, North Walbottle, NE15 9XL	1
Ty Llwyd, Llanfaelog, LL63 5TY	1
Woodlands, North Road, Bath, BA2 6HB	1
Willow House, 15 Common Lane, Troston, IP31 1EY	1
20 Lexby Road, Totton, SO40 9HD	1
60 Ennerdale, Washington, NE37 1BP	1
5 Holly Grange, Langham Road, Bowdon, WA14 2HU	1
Apartment F2-02, Plimsoll Building, 1 Handyside Street, London, N1C 4BQ	1
4 West View, Newbiggin-By-The-Sea, NE64 6QA	1
23 Wykeham Road, Reading, RG6 1NR	1
6 Oldberrow Close, Shirley, B90 4LX	1
5 Bobbin Close, Bacup, OL13 9BE	1
1 Acorn Close, Hellesdon, NR6 5FL	1
Covean Cottage, St Agnes, TR22 0PL	1
46 - 48 Ellesmere Road, Sheffield, S4 7JD	1
21 Deerhurst Way, Eye, PE6 7XD	1
7 Westlea View, Clowne, S43 4SZ	1
3 Bathgate Avenue, Sunderland, SR5 4QN	1
2 Hughendon Cottages, Porthmadog, LL49 9EW	1
Lakeside, Rhosneigr, LL64 5JJ	1
5 Council Houses, Haddiscoe, NR14 6PD	1
10 Charles Street, Royton, OL2 5JN	1
26 Churchfield Road, Walton On The Naze, CO14 8BL	1
40 Willowherb Way, Stotfold, SG5 4GR	1
Flat, 5 Woodpecker Close, Hatfield, AL10 9ET	1
24 Derwent Road, London, W5 4TN	1
Ferndale, Halebourne Lane, West End, GU24 9QW	1
7 Balaton Place, Newmarket, CB8 7YP	1
20 Lanelay Road, Talbot Green, CF72 8HZ	1
15 George Court, Welwyn Garden City, AL7 4FS	1
Grove Bungalow, Wells Road, Warham, NR23 1NG	1
5 Hambleton Gate, Stokesley, TS9 5AS	1
Flat 89, Fable Apartments, 261C City Road, London, EC1V 1AP	1
7 Beech Street, Highley, WV16 6HL	1
Flat B, 127 King Charles Road, Surbiton, KT5 8PQ	1
83 Lang Lane South, Wirral, CH48 7EG	1
Flat 1, Alban House, 19 Shardeloes Road, London, SE14 6PH	1
1 North Close, Ryton, NE40 3LJ	1
Unit 1, 17 Holmesdale Road, Reigate, RH2 0BA	1
Fen Lodge, Cross Drove, Gedney Hill, PE12 0PZ	1
Cannfield, Salisbury Road, Shaftesbury, SP7 8BS	1
Netherwood Heath Farmhouse, Netherwood Lane, Chadwick End, B93 0BB	1
Buckingham House, Buckingham Road, Deanshanger, MK19 6JU	1
35 Forest Road, Lydney, GL15 5LE	1
10 Speckled Wood Close, Pinewood, IP8 3TG	1
20 Northburgh Street, London, EC1V 0EA	1
Tyn Y Graig, Arthog, LL39 1DQ	1
50 Albany Heights, Hogg Lane, Grays, RM17 5XN	1
Drefnewydd Farm, Aberaeron, SA46 0JR	1
8 Peartree Lane, Dudley, DY2 0QU	1
16 Dave Bowen Close, Duston, NN5 4US	1
29 Ger Y Mor, Rhosneigr, LL64 5JF	1
2 Combourne Cottages, Jarvis Lane, Goudhurst, TN17 1LP	1
Flat 3, Tudor Court, 3 Ty Mawr Road, Deganwy, LL31 9UR	1
Foundry Cottage, Peters Terrace, Foundry Hill, Stithians, TR3 7BT	1
5 Pinetops, Horsham, RH12 4HU	1
27 Tregarrick Road, Roche, PL26 8FF	1
The Shrubbery, 8 Rockway, Shipton Gorge, DT6 4LW	1
20 Billington Road East, Elmesthorpe, LE9 7SB	1
Dog Hill House, High Street, Hawkesbury Upton, GL9 1AU	1
44 Southwood Road, Ramsgate, CT11 0AJ	1
2 Leaside, Northchapel, GU28 9HD	1
19 St Marys Road, Bozeat, NN29 7JU	1
128 Green Lane, Addlestone, KT15 2TE	1
8 Wren Close, Syston, LE7 1ZS	1
1 Smiths Farm, North Drove, Lutton, PE12 9NA	1
Snodhill Hall, Snodhill, HR3 6BG	1
106 Chappell Close, Aylesbury, HP19 9QB	1
77 Winchester Street, Salisbury, SP1 1HS	1
5 Shaftesbury Close, Purton, SN5 4FD	1
70 Walsall Street, Canley, CV4 8EY	1
19 Spring Terrace, Irthlingborough, NN9 5UE	1
The Brunswick, Dartmouth Park Hill, London, N19 5HS	1
71 West Street, Gorseinon, SA4 4AF	1
15 The Haverlands, Gonerby Hill Foot, NG31 8HB	1
29 High Street, Glynneath, SA11 5BS	1
31 Oliver Road, Swanley, BR8 7EB	1
Sky View, Bradley Lane, Bradley, ST18 9DP	1
3 Paynetts Court, Weybridge, KT13 0BA	1
The Willows, Cabbage Lane, Horsington, BA8 0DA	1
Proserpine, Roman Road, Three Elms, HR4 9QN	1
21 Olga Terrace, Rowlands Gill, NE39 2NE	1
30 Pear Tree Road, Shard End, B34 6RZ	1
Unit 4 Sky Business Park, Egham, TW20 8RF	1
109 Sandpiper Road, Lordswood, SO16 8FE	1
20 Brazil Street, Coventry, CV4 9NE	1
4 Nether Springs Road, Bolsover, S44 6SA	1
Lordship Cottage, Much Hadham, SG10 6HN	1
Greenways, Parsonage Road, Newton Ferrers, PL8 1AS	1
The Old City Library And Records Office, Rougemont Place, Exeter, EX4 3PQ	1
12 Ashton Crescent, Nailsea, BS48 2JR	1
2 Glynmynach Street, Ynysybwl, CF37 3DT	1
16 Bruntcliffe Drive, Morley, LS27 0NF	1
2 Eliot Way, Maldon, CM9 6DQ	1
9 Crawford Avenue, Lanesfield, WV4 6PL	1
1 Rowan Shaw, Tonbridge, TN10 3QA	1
61 Western Drive, Cardiff, CF14 2SF	1
Waylands, Polperro Road, Looe, PL13 2JR	1
2 Longford Way, Staines, TW19 7SL	1
53 Ipswich Road, Norwich, NR4 6LA	1
22 West Street, Builth Wells, LD2 3AL	1
3 Hale Close, Ipswich, IP2 9QP	1
The Old Sweet Factory, Burtons Lane, Box, SN13 8DN	1
83 West Street, Bere Regis, BH20 7HL	1
25 Benmore Road, Manchester, M9 6LQ	1
8 Forest Rise, Crowborough, TN6 2ER	1
5 Meadowside, London, SE9 6BD	1
10 Kings Croft, Castle Bromwich, B36 0JX	1
179 St Helens Road, Eccleston Park, L34 2QB	1
65 - 69 Stirling Street, Grimsby, DN31 3AE	1
3 Camp View, Nailsea, BS48 2AB	1
Bank Cottage, Market Place, Hope, S33 6RH	1
8 Maylon Close, Buntingford, SG9 9TW	1
Braeside, Springhill, Nailsworth, GL6 0LU	1
3D Burnbury Road, London, SW12 0EH	1
1 Irishcombe Farm Cottages, Meshaw, EX36 4NH	1
20 Missenden Street, Newton Leys, MK3 5QR	1
7 Constantine Close, Kempsey, WR5 3WH	1
Crosspark, Broadhempston, TQ9 6AY	1
Newport House, The Mall, Brading, PO36 0BZ	1
34 Dun Street, Sheffield, S3 8SL	1
1 Williamson Park Road, Thornton-Cleveleys, FY5 3UL	1
2 Taffs Mead Embankment, Cardiff, CF11 6RG	1
6 Harrowbeck Edge, Lazonby, CA10 1BS	1
1 Bishops Farm Mill, Witan Way, Witney, OX28 4DG	1
Plot 15A, Winson Farm, Chittlehampton, EX37 9QP	1
45 Greenwood Vale, Hucknall, NG15 6LY	1
23B Grove End Road, London, NW8 9BP	1
4 Broom Close, Burscough, L40 5BN	1
27 Armthorpe Road, Sheffield, S11 7FA	1
6 High Street, London Colney, AL2 1QS	1
53 Ferndale Avenue, Middlesbrough, TS3 9EJ	1
Graigwrthheirn, Llanfihangel Ar Arth, SA39 9LA	1
31 Waltham Way, Frinton-On-Sea, CO13 9JE	1
64 Winstonian Road, Cheltenham, GL52 2JE	1
331 Newmarket Road, Cambridge, CB5 8JE	1
Flat 2, 16 Maiden Lane, London, WC2E 7NJ	1
32 Murat Grove, Waterloo, L22 8QY	1
4A Bedwell Road, Belvedere, DA17 5LF	1
117 Belstead Road, Ipswich, IP2 9AX	1
7 Cotton Drive, Hertford, SG13 7SU	1
Glasfryn House, Bailihelig Road, Brecon, LD3 8EB	1
Town Farm Cottage, Letheringsett Road, Thornage, NR25 7QD	1
Anthony Best Dynamics Ltd, Middleton Drive, Bradford-On-Avon, BA15 1GB	1
2 Badsell Park Farm Cottages, Matfield, TN12 7EW	1
5 Weighton Road, London, SE20 8TN	1
11 Broadmead, Corsham, SN13 9AN	1
Apartment 158, 32 Tabley Street, Liverpool, L1 8DX	1
Manderley, Park Road, Ashtead, KT21 2QR	1
7 Radbourne Court, Harrow, HA3 0BQ	1
Flat 2, 30 Avonmore Road, London, W14 8RS	1
St Davids, Ashdon Road, Saffron Walden, CB10 2AA	1
2 Goldings Close, Kings Hill, ME19 4BE	1
33 Trough Gate, Oldham, OL8 3TH	1
Pensilva, Nancegollan, TR13 0BJ	1
14 Park Road, Sutton, SM3 8QB	1
5 Fillybrooks Mews, Stone, ST15 0WE	1
13 Offchurch Road, Cubbington, CV32 7NW	1
23 Alton Street, Oldham, OL8 3EY	1
Hurst Cottage, Hurst Lane, Hindlip, WR3 8SH	1
5 Bryn Gomer, Fishguard, SA65 9EP	1
The Gables, Cwmavon Road, Cwmavon, SA12 9BT	1
22 Ferney Road, Cheshunt, EN7 6XP	1
15 The Strand Shopping Centre, Bude, EX23 8QT	1
4 Leonards Lane, Feltwell, IP26 4EQ	1
Shepherds Fell, The Street, Scoulton, NR9 4PE	1
13 Winterburn Street, Keighley, BD21 3BW	1
5 Foxglove Court, Frodsham, WA6 7QG	1
4 Austen Close, Par, PL24 2FH	1
Cartref, Pandy, NP7 8DL	1
Magpie Cottage, Bridge Street, Bures, CO8 5AD	1
151 Northumbria Walk, Newcastle Upon Tyne, NE5 2YD	1
HOROUGH - SERVICES	2
Thorough Services Group	2
PRECISION LIFT SERVIES LTD	2
Brama Services Limited	2
air cool engineering	2
Tower Gardening Services Ltd	2
Fire Risk Prevention Agency Ltd	2
LYRECO UK LIMITED	2
Abbatt Property Recruitment	2
Steve Samuel B & M Ltd	2
London Security	2
Easi Lock Limited	2
Gallagher	2
Brit-Sec Limited	2
Martin Arnold Ltd	2
Initial	2
Easi Lock Limited	2
easilock	2
HERBERT LIVERIES LTD	2
Gresham (SMS) Ltd	2
Gresham	2
PRC  PROPERTY RECRUITMENT COMPANY	2
PRC	2
maclec	2
Fresco Environmental Ltd	2
Acuity Compliance	2
NorthWest Aerials Ltd	2
maclec.co.uk	2
Atmr	2
FRESCO ENVIRONMENTAL	2
OLICO	2
PICKERING LIFTS	2
PICKERINGS LIFTS	2
Haymarket	2
Tysers	2
wavenetuk	2
LION WINDOW CLEANING	2
Lion Window Cleaning	2
spoton-services	2
MIDSHIRE	2
Cobham Murphy PHD Ltd	2
LBpartners Ltd	2
Motion Picture Licensing Company Limited	2
whelan	2
Sefton Security	2
Brit-Sec	2
BONNELLS ELECTRICAL	2
AC Davis Electrical	2
Castle Water Limited	2
Fixatex Limited	2
Opus Energy	2
Alphatrack	2
Cleanscapes	2
TEMPLE LIFTS	2
Mears Ltd	2
TEMPLE	2
MAND PLS LTD	2
Willow Pumps	2
Orbis	2
T Brown Group	2
T BROWN	2
Integrated Water Services	2
integrated Water Services	2
integrated water services	2
Savils	2
savils	2
Savills	2
orbis	2
Gas Contract Services Ltd	2
Inspired Energy Solutions Ltd	2
Dovetail Building Consultants	2
REGENCY HOUSE	2
iCS Communications	2
Acuity	2
Southern Electric	2
World Wide Plants	2
Saona Cleaning Services Limited	2
edfenergy	2
Saona Cleaning Services	2
PRECISION LIFT SERVICES LTDOne Direct Maintenance	2
One Direct Maintenance Limited	2
One Direct	2
EDFenergy	2
edf energy	2
20-20 Housing Co-operative Limited	7
3CHA Ltd	7
700 Club	7
A2Dominion Homes Limited	7
A2Dominion Housing Group Limited	7
A2Dominion Housing Options Limited	7
A2Dominion South Limited	7
AAIM Housing RP Limited	7
Abbeyfield Braintree, Bocking and Felsted Society Limited	7
Abbeyfield Bristol and Keynsham Society	7
Abbeyfield Deben Extra Care Society Limited	7
Abbeyfield Ferring Society Limited	7
Abbeyfield Grimsby, Cleethorpes and District Society Limited	7
Abbeyfield North Northumberland Extra Care Society Limited	7
Abbeyfield Oxenford Society Limited	7
Abbeyfield Porlock Society Limited	7
Abbeyfield Sodbury Vale Society Limited	7
Abbeyfield South Downs Limited	7
Abbeyfield Southern Oaks	7
Abbeyfield The Dales Limited	7
Abbeyfield Wessex Society Limited	7
Abbeyfield Wey Valley Society Limited	7
Abeona Housing Co-operative Limited	7
Ability Housing Association	7
Abri Group Limited	7
Accent Group Limited	7
Accent Housing Limited	7
Access Homes Housing Association Limited	7
AccommodationYes Limited	7
Acis Group Limited	7
Action Housing and Support Limited	7
Addiscombe Catholic Housing Association Limited	7
Adler Housing	7
Adullam Homes Housing Association Limited	7
Adur District Council	7
Advance Housing and Support Limited	7
Affordable Housing Communities Limited	7
Agamemnon Housing Association Limited	7
Aged Merchant Seamen’s Homes	7
Agudas Israel Housing Association Limited	7
AKSA Housing Association Limited	7
Albion Housing Co-operative Limited	7
Alice Coralie Glyn Homes	7
Allandale Care Group Limited	7
Alliance Housing Association (South Yorkshire) Limited	7
Allnutt Mill Housing Co-operative Limited	7
Almshouse Charity	7
Almshouse Charity of Elizabeth Smith	7
Almshouse Charity of Hannah Rawson	7
Almshouse Charity of Sir William Powell	7
Almshouse of St John the Baptist & St John the Evangelist	7
Almshouses of Miss Anne Hopkins-Smith	7
Alpha (R.S.L.) Limited	7
Alpha Housing Co-operative Limited	7
Alt Housing Co-operative Limited	7
Amicus Group Limited	7
Anchor Hanover Group	7
Anchor Property Holdings Limited	7
Anerley Housing Co-operative Limited	7
Angiers Almshouse Charity	7
Annie Sutton and Hoult Memorial Houses	7
Apna Ghar Housing Association Limited	7
Arawak Walton Housing Association Limited	7
Arches Housing Limited	7
Arcon Housing Association Limited	7
Argyle Street Housing Co-operative Limited	7
Arhag Housing Association Limited	7
Arneway Housing Co-operative Limited	7
Arpeggio Properties Limited	7
Arun District Council	7
Arundel Buildings Housing Co-operative Limited	7
Ascent Housing LLP	7
Asett Homes Ltd	7
Ashbourne Almshouse Charity	7
Ashfield District Council	7
Ashford Borough Council	7
Ashford Pavilion Housing Co-operative Limited	7
Ashley Community & Housing Ltd	7
Ash-Shahada Housing Association Limited	7
20090 - [ MD05115 ] - Fire Alarm Maintenance & Servicing - M&E   Replace 5 defective emergency lighting fittings.	3
20090 - [ MD05115 ] - Fire Alarm Maintenance & Servicing - M&E   Replace 5 defective emergency lighting fittings.	3
Axis previously attended to fix these lights and reported that it has been tampered with - Electrician required to repair the following. Street light 2nd and 3rd from the concierge lodge on palmers road Bollards 3rd bollard at the side 67 Tree lights on p  50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
Survey to be carried out to communal areas of Cradford House for moth infestation.  As per Lefty.  This is a part of a formal complaint OHG 9878  20260 - [ MD05050 ] - Pest Control - Responsive	3
Can you please raise a PO for Wilo to attend SWS to investigate cold water booster pump fault located in the in the water tank room by the main entrance car park gate for SWS as they come into the car park the tank room is on the right hand side  20115 - [ MD05116 ] - Water Pump Maintenance - M&E	3
50100 - [ MD05001 ] - Communal Repairs General Building - Responsive   Defective light located by internal door near no. 6 Reported Brian Maguire	3
Defective light units located on Ground floor by internal door near no.1 1st floor lobby nearest to lift and on 7th floor by no.705/706 Reported by Brian Maguire   50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
50100 - [ MD05001 ] - Communal Repairs General Building - Responsive                 Defective lights on:  Ground floor by internal door Ground floor by no. 6 8th floor by landlord cupboard near no.802 7th floor lobby by lift 3rd floor by meter cupboard near no. 322 (x 2 lights out)	3
Flat G03 reports all lights on landing are not working communal area is completely dark - Please inspect and remedy all communal lighting in property - 0208 981 1091  50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
20260 - [ MD05050 ] - Pest Control - Responsive   Following J01T97 to carry out 2 visits for textile moths to flat 404 - Please do not action	3
20160 - [ MD05118 ] - Lift Servicing & Maintenance - M&E   Lift out of service. Kone ref - 11677589	3
50100 - [ MD05001 ] - Communal Repairs General Building - Responsive   Please attend and remedy issue with lighting in electric room 1 and electric room 3 right outside the door. for exact location  please contact concierge	3
as per Gamze - flat 403 Wharton House moth infestation in the property and communal block please carry out full inspection and baiting works.Access Details : Gamze 0207 428 4112/Flat 403 Wharton House - Gareth Croyle 07860 866544  20260 - [ MD05050 ] - Pest Control - Responsive	3
Please attend and remedy issue with seals on main fire exit doors to the block . water is getting underneath the doors. concierge on the site Access Details : Lorraine Pryce 02074284137  50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
Quote Ref: 66501/RB/cc - Mice (Mus domesticus) activity has been observed in the bin room and corridors. We have been asked to provide a pest prevention service to help with this issue  20260 - [ MD05050 ] - Pest Control - Responsive	3
please carry out light repairs to the following areas -  8th floor by landlord cupboard at 811 Fire exit sign 4th floor near 414 3rd floor by meter cupboard 322 please ensure all the lights are in working order Access Details : Gamze Ozevlat - 020 7428  50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
please carry out investigation and repair the following lights - 9th floor by 902 8th floor by lift in the lobby 3rd floor lobby by door to 301. please check the floors and ensure they're in working order Access Details : Gamze Ozevlat - 020 7428 4112  50100 - [ MD05001 ] - Communal Repairs General Building - Responsive	3
50100 - [ MD05001 ] - Communal Repairs General Building - Responsive                 Street light outside 55 Cradford House South not working Street light outside 45 Cradford House North not working please carry out full investigation and repair Access Details : Gamze Ozevlat - 020 7428 4112/07766 905 808	3
PLEASE CAN THIS ATTENDED TO URGENTLY 903 905 HAVE NO TV SIGNAL FROM THE COMMUNAL DISH    07736836745  50125 - [ MD05101 ] - Communal Repairs - M&E	3
Resident Flat 3 Evans Apartments reports partial loss of satellite signal loss picture breaks up and there is sometimes picture loss for a few minutes. Please attend trace and rectify this issue and submit report of findings.   0203 583 4216 / 07908 61 9  50125 - [ MD05101 ] - Communal Repairs - M&E	3
Resident at flat 301 said with signal to satellite television keeps breaking - resident at 301 also said other residents in the block are affected with faulty  signals to their  satellite televisions - resident at flat 31 can be contacted on  07878877110  50125 - [ MD05101 ] - Communal Repairs - M&E	3
Please attend and remedy issue with seals on main fire exit doors to the block . water is getting underneath the doors - Metal door and it's the hard brush strip that fits into the groove of the bottom underneath concierge on the site Access Details : Lo  50125 - [ MD05101 ] - Communal Repairs - M&E	3
50100 - [ MD05001 ] - Communal Repairs General Building - Responsive   Reported by Amanda Concierge leak in landlords cupboard on 9th floor. UncontainableAccess Details : 07554113479	3
Confirmation order - 8/5/2016 – BC173985 – Cradford House ( Non Contract) - Fault reported as lift doors keep jamming on floor 1.  Engineer travelled to site  on arrival non-contract site. Unable to gain access to building.  Left lift out of service. ACTI  20160 - [ MD05118 ] - Lift Servicing & Maintenance - M&E	3
20260 - [ MD05050 ] - Pest Control - Responsive   806  reported mice again  on communal area on the 8th floor	3
Small Works Order - Replace 1 defective emergency lighting fittings	3
